기업명,코드,업종,15회업종분류,"규모
코드","내부
지분율
(4)","전문경영인정도
(3)","소비성
지출
(3)","위험성
(5)","관계사
출자
(3)","관계사
지급보증
(2)","건전성
(20점)","공정거래1
(1)","공정거래2
(2)","불성실
공시
(2)","
사업
보고서 
적정성
(2)","사외이사비율
(2)","사외이사의이사회
참여
(2)","공정성
(11점)","장애인
고용비율
(2)","여성
채용비율
(2)","기부금
(3)","사회봉사
기여도
(7)","공산품사후봉사
우수기업인증
(2)","품질
관련인증
(3)","광고비
과다지출
(2)","소비자보호만족도
총점
(7)","환경
회계공시
(2)","에너지
효율
(2)","환경관련인증 
및 수상
(3)","수,대,특 
오염실태(3)","환경보호만족도
총점
(10)","작업장
보건
안전인증(2)","1인당
교육훈련비
(2)","교육훈련비
증가율
(2)","임금
보상체계
(2)","복지후생
(2)","종업원
만족도
총점
(10)","연구개발지출
(제조2점/
비제조3점)","특허및장영실상
(제조1점)","수익성
(1)","성장성
(1)","설비투자
(제조1점)","고용인력
증가율
(비제조1점)","조세납부
(제조1점,
비제조2점)","배당성향
(1)","노동생산성
증가율
(1)","수출비중
(제조1점)","경제발전
기여도
(10)","정량평가
총점
(75)"
건설화학공업,' 00860,화학제품제조업,금속/비금속/화학업,2 ,2.23 ,2.55 ,2.55 ,5.00 ,2.10 ,1.40 ,15.83 ,0.85 ,1.70 ,1.70 ,2.00 ,0.50 ,2.00 ,8.75 ,1.54 ,1.70 ,0.82 ,4.07 ,1.00 ,1.20 ,1.50 ,3.70 ,1.70 ,1.40 ,1.65 ,2.10 ,6.85 ,0.50 ,1.11 ,0.79 ,1.71 ,0.54 ,4.64 ,1.70 ,0.40 ,0.46 ,0.26 ,1.00 ,,0.34 ,0.27 ,0.51 ,0.40 ,5.34 ,49.18 
에스원,' 12750,사업지원서비스업,비제조/서비스업,1 ,2.44 ,2.55 ,3.00 ,5.00 ,2.55 ,1.70 ,17.24 ,0.85 ,1.70 ,1.70 ,1.60 ,0.50 ,2.00 ,8.35 ,0.73 ,0.80 ,1.04 ,2.57 ,1.00 ,1.20 ,1.50 ,3.70 ,1.00 ,0.50 ,0.75 ,2.55 ,4.80 ,0.50 ,2.00 ,0.97 ,1.40 ,1.38 ,6.24 ,2.55 ,,0.70 ,0.26 ,,0.85 ,1.13 ,0.31 ,0.42 ,,6.22 ,49.12 
동신제약,' 06600,화학제품제조업,식약/섬유/종이업,3 ,2.94 ,2.55 ,2.10 ,2.75 ,2.55 ,1.70 ,14.59 ,0.55 ,1.70 ,1.70 ,2.00 ,1.10 ,1.50 ,8.55 ,0.71 ,1.70 ,3.00 ,5.41 ,1.00 ,0.75 ,1.50 ,3.25 ,1.00 ,0.50 ,0.75 ,2.55 ,4.80 ,0.50 ,2.00 ,1.04 ,2.00 ,2.00 ,7.54 ,1.40 ,0.25 ,0.42 ,0.26 ,1.00 ,,0.35 ,0.34 ,0.51 ,0.40 ,4.92 ,49.07 
대덕전자,' 08060,영상통신장비제조,전기전자/기계업,1 ,3.31 ,2.10 ,2.10 ,5.00 ,2.10 ,1.70 ,16.31 ,0.85 ,1.70 ,1.70 ,2.00 ,0.50 ,2.00 ,8.75 ,0.68 ,0.50 ,1.35 ,2.53 ,1.00 ,1.65 ,1.50 ,4.15 ,1.00 ,1.40 ,1.65 ,2.55 ,6.60 ,0.50 ,2.00 ,1.43 ,0.70 ,0.50 ,5.13 ,1.40 ,0.40 ,0.45 ,0.26 ,1.00 ,,0.40 ,0.33 ,0.42 ,0.85 ,5.50 ,48.98 
대웅제약,' 69620,화학제품제조업,식약/섬유/종이업,2 ,2.22 ,2.55 ,2.55 ,5.00 ,2.55 ,1.70 ,16.57 ,0.55 ,1.70 ,1.70 ,1.60 ,1.10 ,1.50 ,8.15 ,0.68 ,1.40 ,3.00 ,5.08 ,1.00 ,0.75 ,0.50 ,2.25 ,1.00 ,0.50 ,0.75 ,2.55 ,4.80 ,0.50 ,2.00 ,0.96 ,1.69 ,1.76 ,6.90 ,1.40 ,0.25 ,0.70 ,0.26 ,0.90 ,,0.52 ,0.29 ,0.51 ,0.40 ,5.23 ,48.98 
삼양사,' 00070,음식료품제조업,식약/섬유/종이업,1 ,2.69 ,2.10 ,2.55 ,4.25 ,1.20 ,1.70 ,14.49 ,0.55 ,1.10 ,1.70 ,2.00 ,1.10 ,0.50 ,6.95 ,0.88 ,1.70 ,3.00 ,5.58 ,1.00 ,0.75 ,1.50 ,3.25 ,1.70 ,1.40 ,1.65 ,2.55 ,7.30 ,0.50 ,2.00 ,0.95 ,1.16 ,0.78 ,5.38 ,1.40 ,0.70 ,0.45 ,0.26 ,1.00 ,,0.39 ,0.28 ,0.48 ,0.70 ,5.66 ,48.61 
동양제철화학,' 10060,화학제품제조업,금속/비금속/화학업,1 ,2.68 ,2.55 ,2.10 ,4.25 ,1.65 ,1.10 ,14.33 ,0.85 ,1.70 ,1.70 ,2.00 ,1.10 ,0.50 ,7.85 ,1.17 ,0.50 ,2.98 ,4.65 ,1.00 ,1.20 ,1.50 ,3.70 ,1.70 ,1.40 ,2.10 ,1.65 ,6.85 ,1.50 ,2.00 ,0.79 ,0.78 ,0.61 ,5.68 ,1.40 ,0.40 ,0.44 ,0.26 ,1.00 ,,0.41 ,0.29 ,0.43 ,0.85 ,5.49 ,48.55 
대우자동차판매,' 04550,자동차판매업,비제조/서비스업,1 ,3.42 ,2.55 ,3.00 ,3.50 ,2.10 ,1.70 ,16.27 ,0.85 ,1.70 ,1.70 ,2.00 ,1.50 ,2.00 ,9.75 ,1.18 ,0.50 ,1.03 ,2.70 ,1.00 ,0.75 ,1.50 ,3.25 ,1.00 ,0.50 ,1.65 ,2.55 ,5.70 ,0.50 ,2.00 ,0.88 ,2.00 ,2.00 ,7.38 ,0.75 ,,0.35 ,0.26 ,,0.85 ,0.54 ,0.28 ,0.45 ,,3.48 ,48.53 
LS산전,' 10120,전기장비제조,전기전자/기계업,1 ,2.41 ,2.55 ,2.55 ,2.75 ,2.10 ,1.70 ,14.06 ,0.85 ,1.70 ,1.70 ,2.00 ,1.50 ,2.00 ,9.75 ,1.18 ,0.50 ,0.77 ,2.45 ,1.00 ,0.75 ,1.50 ,3.25 ,1.00 ,1.40 ,2.10 ,2.55 ,7.05 ,0.50 ,2.00 ,0.93 ,0.89 ,0.71 ,5.03 ,2.00 ,0.85 ,1.00 ,0.26 ,1.00 ,,0.34 ,0.28 ,0.53 ,0.55 ,6.80 ,48.40 
금호석유화학,' 11780,화학제품제조업,금속/비금속/화학업,1 ,2.62 ,2.10 ,2.55 ,2.75 ,1.20 ,1.10 ,12.32 ,0.55 ,1.10 ,1.10 ,2.00 ,1.50 ,1.50 ,7.75 ,1.67 ,1.70 ,1.59 ,4.95 ,1.00 ,1.20 ,1.50 ,3.70 ,1.70 ,1.40 ,2.10 ,2.55 ,7.75 ,1.50 ,2.00 ,1.09 ,0.50 ,0.50 ,5.59 ,1.70 ,0.70 ,0.68 ,0.26 ,1.00 ,,0.25 ,0.26 ,0.61 ,0.85 ,6.31 ,48.38 
신성이엔지,' 11930,기타장비제조업,전기전자/기계업,2 ,3.54 ,2.55 ,2.10 ,4.25 ,1.65 ,1.40 ,15.49 ,0.85 ,1.70 ,1.70 ,2.00 ,1.10 ,0.50 ,7.85 ,1.19 ,0.80 ,3.00 ,4.99 ,1.00 ,0.75 ,1.50 ,3.25 ,1.70 ,0.50 ,1.65 ,2.55 ,6.40 ,0.50 ,2.00 ,0.69 ,1.38 ,1.05 ,5.61 ,1.70 ,0.55 ,0.37 ,0.27 ,0.39 ,,0.32 ,0.29 ,0.35 ,0.55 ,4.78 ,48.37 
일성신약,' 03120,화학제품제조업,식약/섬유/종이업,2 ,2.09 ,2.10 ,2.10 ,5.00 ,2.55 ,1.70 ,15.54 ,0.85 ,1.70 ,1.70 ,2.00 ,1.10 ,0.50 ,7.85 ,1.19 ,1.70 ,2.85 ,5.74 ,1.00 ,0.75 ,1.50 ,3.25 ,1.00 ,0.50 ,0.75 ,2.55 ,4.80 ,0.50 ,2.00 ,0.89 ,1.22 ,1.17 ,5.78 ,1.40 ,0.25 ,0.57 ,0.26 ,0.89 ,,0.98 ,0.26 ,0.52 ,0.25 ,5.37 ,48.32 
태영,' 09410,종합건설업,비제조/서비스업,1 ,2.68 ,2.55 ,2.55 ,5.00 ,1.20 ,1.70 ,15.68 ,0.85 ,1.70 ,1.70 ,2.00 ,0.50 ,0.50 ,7.25 ,1.04 ,1.70 ,3.00 ,5.74 ,1.00 ,1.20 ,1.50 ,3.70 ,1.00 ,0.50 ,2.10 ,2.55 ,6.15 ,0.50 ,2.00 ,0.83 ,1.15 ,0.74 ,5.22 ,2.10 ,,0.47 ,0.26 ,,0.25 ,0.81 ,0.28 ,0.37 ,,4.54 ,48.27 
한진해운,' 00700,수상운송업,비제조/서비스업,1 ,3.38 ,2.55 ,3.00 ,4.25 ,1.65 ,1.10 ,15.93 ,0.85 ,1.70 ,1.70 ,2.00 ,2.00 ,0.50 ,8.75 ,0.50 ,1.70 ,2.65 ,4.85 ,1.00 ,0.75 ,1.50 ,3.25 ,1.70 ,0.50 ,0.75 ,2.55 ,5.50 ,1.50 ,2.00 ,1.01 ,0.71 ,0.67 ,5.88 ,0.75 ,,1.00 ,0.26 ,,0.25 ,0.92 ,0.27 ,0.59 ,,4.04 ,48.19 
한국유리공업,' 02000,비금속광물제조업,금속/비금속/화학업,1 ,2.42 ,2.55 ,2.55 ,5.00 ,1.65 ,1.70 ,15.87 ,0.85 ,1.70 ,1.70 ,2.00 ,0.50 ,2.00 ,8.75 ,1.75 ,0.50 ,1.22 ,3.47 ,1.00 ,0.75 ,1.50 ,3.25 ,1.00 ,1.40 ,1.65 ,2.55 ,6.60 ,0.50 ,2.00 ,0.85 ,1.05 ,0.89 ,5.29 ,1.10 ,0.40 ,0.34 ,0.26 ,1.00 ,,0.54 ,0.30 ,0.39 ,0.55 ,4.89 ,48.11 
농심,' 04370,음식료품제조업,식약/섬유/종이업,1 ,2.35 ,2.55 ,3.00 ,4.25 ,1.65 ,1.40 ,15.20 ,0.55 ,1.70 ,1.70 ,1.60 ,0.50 ,1.50 ,7.55 ,0.81 ,1.70 ,1.20 ,3.71 ,1.00 ,0.75 ,1.00 ,2.75 ,1.70 ,1.40 ,0.75 ,2.55 ,6.40 ,1.50 ,2.00 ,1.01 ,1.87 ,0.61 ,6.98 ,1.10 ,0.70 ,0.71 ,0.26 ,1.00 ,,0.48 ,0.28 ,0.51 ,0.40 ,5.44 ,48.03 
근화제약,' 02250,화학제품제조업,식약/섬유/종이업,3 ,2.92 ,2.55 ,3.00 ,2.75 ,1.65 ,1.40 ,14.27 ,0.85 ,1.70 ,1.70 ,2.00 ,0.50 ,0.50 ,7.25 ,2.00 ,1.70 ,2.70 ,6.40 ,1.00 ,0.75 ,0.50 ,2.25 ,1.00 ,0.50 ,0.75 ,2.55 ,4.80 ,0.50 ,2.00 ,0.82 ,2.00 ,1.59 ,6.90 ,2.00 ,0.40 ,0.50 ,0.26 ,0.83 ,,0.95 ,0.33 ,0.44 ,0.40 ,6.12 ,48.00 
고려개발,' 04200,종합건설업,비제조/서비스업,1 ,2.23 ,2.55 ,3.00 ,4.25 ,2.55 ,1.70 ,16.28 ,0.85 ,1.70 ,1.70 ,1.60 ,1.10 ,2.00 ,8.95 ,0.57 ,0.50 ,1.36 ,2.43 ,1.00 ,1.20 ,1.50 ,3.70 ,1.70 ,0.50 ,1.65 ,2.55 ,6.40 ,0.50 ,2.00 ,1.14 ,0.93 ,0.64 ,5.21 ,2.10 ,,0.62 ,0.26 ,,0.25 ,0.78 ,0.29 ,0.61 ,,4.92 ,47.88 
퍼시스,' 16800,가구제조업,식약/섬유/종이업,2 ,2.56 ,2.10 ,2.55 ,5.00 ,2.10 ,1.70 ,16.01 ,0.85 ,1.70 ,1.70 ,2.00 ,0.50 ,0.50 ,7.25 ,1.19 ,1.10 ,2.51 ,4.80 ,1.70 ,0.75 ,1.50 ,3.95 ,1.00 ,0.50 ,1.65 ,2.55 ,5.70 ,0.50 ,2.00 ,0.95 ,0.85 ,0.69 ,4.99 ,1.40 ,0.55 ,0.61 ,0.26 ,0.53 ,,0.64 ,0.27 ,0.51 ,0.40 ,5.17 ,47.87 
한화석유화학,' 09830,화학제품제조업,금속/비금속/화학업,1 ,2.94 ,2.55 ,2.10 ,2.75 ,1.20 ,1.40 ,12.94 ,0.25 ,0.50 ,1.70 ,2.00 ,2.00 ,2.00 ,8.45 ,1.79 ,0.50 ,1.20 ,3.49 ,1.00 ,1.20 ,1.50 ,3.70 ,1.70 ,1.40 ,2.55 ,2.55 ,8.20 ,1.50 ,2.00 ,1.05 ,0.50 ,0.50 ,5.55 ,1.40 ,0.40 ,0.75 ,0.26 ,1.00 ,,0.25 ,0.26 ,0.51 ,0.70 ,5.54 ,47.87 
빙그레,' 05180,음식료품제조업,식약/섬유/종이업,1 ,2.90 ,2.10 ,3.00 ,4.25 ,2.55 ,1.70 ,16.50 ,0.55 ,1.70 ,1.70 ,1.60 ,1.50 ,1.10 ,8.15 ,1.39 ,1.70 ,1.43 ,4.53 ,1.00 ,1.20 ,0.50 ,2.70 ,1.00 ,1.40 ,0.75 ,2.55 ,5.70 ,1.50 ,0.50 ,0.50 ,1.41 ,1.40 ,5.31 ,1.10 ,0.25 ,0.71 ,0.26 ,1.00 ,,0.42 ,0.29 ,0.45 ,0.40 ,4.88 ,47.77 
중외제약,' 01060,화학제품제조업,식약/섬유/종이업,1 ,3.33 ,1.65 ,3.00 ,3.50 ,1.65 ,0.80 ,13.93 ,0.55 ,1.70 ,1.70 ,2.00 ,1.10 ,0.50 ,7.55 ,0.89 ,1.70 ,3.00 ,5.59 ,1.00 ,0.75 ,1.00 ,2.75 ,1.00 ,1.40 ,0.75 ,2.55 ,5.70 ,0.50 ,2.00 ,0.99 ,1.64 ,1.10 ,6.23 ,2.00 ,0.55 ,0.53 ,0.26 ,1.00 ,,0.50 ,0.30 ,0.47 ,0.40 ,6.00 ,47.76 
호텔신라,' 08770,소매업,비제조/서비스업,1 ,3.42 ,2.55 ,3.00 ,5.00 ,2.10 ,1.70 ,17.77 ,0.85 ,1.70 ,1.70 ,2.00 ,0.50 ,0.50 ,7.25 ,0.60 ,1.70 ,0.78 ,3.08 ,1.00 ,0.75 ,1.50 ,3.25 ,1.70 ,0.50 ,0.75 ,2.55 ,5.50 ,0.50 ,2.00 ,0.83 ,2.00 ,1.87 ,7.20 ,1.20 ,,0.33 ,0.26 ,,0.25 ,0.69 ,0.33 ,0.53 ,,3.60 ,47.64 
보령제약,' 03850,화학제품제조업,식약/섬유/종이업,2 ,2.35 ,2.55 ,2.55 ,3.50 ,2.55 ,1.70 ,15.20 ,0.85 ,1.70 ,1.70 ,2.00 ,0.50 ,0.50 ,7.25 ,0.77 ,1.10 ,2.97 ,4.83 ,1.00 ,0.75 ,1.00 ,2.75 ,1.00 ,0.50 ,0.75 ,2.55 ,4.80 ,0.50 ,2.00 ,0.83 ,2.00 ,2.00 ,7.33 ,1.70 ,0.55 ,0.48 ,0.26 ,0.88 ,,0.44 ,0.27 ,0.49 ,0.40 ,5.46 ,47.63 
제일기획,' 30000,전문서비스업,비제조/서비스업,1 ,3.36 ,2.55 ,2.55 ,5.00 ,2.10 ,1.70 ,17.26 ,0.55 ,1.70 ,1.70 ,1.60 ,0.50 ,2.00 ,8.05 ,0.50 ,1.70 ,1.04 ,3.24 ,1.00 ,0.75 ,1.50 ,3.25 ,1.00 ,0.50 ,0.75 ,2.55 ,4.80 ,0.50 ,2.00 ,0.98 ,2.00 ,0.98 ,6.47 ,1.65 ,,0.59 ,0.26 ,,0.25 ,0.97 ,0.31 ,0.52 ,,4.56 ,47.62 
부광약품,' 03000,화학제품제조업,식약/섬유/종이업,2 ,2.12 ,2.10 ,2.10 ,5.00 ,2.55 ,1.70 ,15.57 ,0.85 ,1.70 ,1.70 ,2.00 ,0.50 ,0.50 ,7.25 ,0.92 ,1.40 ,2.21 ,4.53 ,1.00 ,0.75 ,1.00 ,2.75 ,1.00 ,0.50 ,0.75 ,2.55 ,4.80 ,0.50 ,2.00 ,1.08 ,1.85 ,1.39 ,6.83 ,2.00 ,0.25 ,0.60 ,0.26 ,0.92 ,,0.60 ,0.31 ,0.52 ,0.40 ,5.85 ,47.57 
신도리코,' 29530,사무기기제조,전기전자/기계업,1 ,2.46 ,2.55 ,2.55 ,5.00 ,2.10 ,1.70 ,16.36 ,0.85 ,1.70 ,1.70 ,2.00 ,0.50 ,0.50 ,7.25 ,0.66 ,0.50 ,1.34 ,2.50 ,1.70 ,1.20 ,1.50 ,4.40 ,1.70 ,1.10 ,1.65 ,2.55 ,7.00 ,0.50 ,2.00 ,1.00 ,0.88 ,0.50 ,4.88 ,0.80 ,0.70 ,0.49 ,0.26 ,0.88 ,,0.49 ,0.32 ,0.40 ,0.85 ,5.18 ,47.57 
대동공업,' 00490,기타장비제조업,전기전자/기계업,2 ,2.97 ,2.10 ,3.00 ,5.00 ,1.65 ,1.70 ,16.42 ,0.85 ,1.70 ,1.70 ,2.00 ,1.10 ,0.50 ,7.85 ,1.65 ,0.50 ,1.04 ,3.19 ,1.00 ,0.75 ,1.50 ,3.25 ,1.70 ,0.50 ,0.75 ,2.55 ,5.50 ,0.50 ,2.00 ,1.16 ,1.76 ,1.04 ,6.47 ,1.40 ,0.40 ,0.30 ,0.26 ,1.00 ,,0.25 ,0.32 ,0.41 ,0.55 ,4.89 ,47.57 
한국전기초자,' 09720,비금속광물제조업,금속/비금속/화학업,1 ,2.53 ,2.55 ,2.55 ,5.00 ,1.65 ,1.10 ,15.38 ,0.85 ,1.70 ,1.70 ,1.60 ,0.50 ,2.00 ,8.35 ,1.06 ,0.50 ,0.75 ,2.31 ,1.00 ,0.75 ,1.50 ,3.25 ,1.00 ,1.40 ,1.65 ,2.55 ,6.60 ,0.50 ,2.00 ,0.50 ,0.50 ,2.00 ,5.50 ,1.40 ,0.70 ,0.38 ,0.25 ,1.00 ,,1.00 ,0.28 ,0.27 ,0.85 ,6.13 ,47.51 
유유,' 00220,화학제품제조업,식약/섬유/종이업,3 ,2.76 ,2.55 ,2.10 ,5.00 ,2.55 ,1.70 ,16.66 ,0.85 ,1.70 ,1.70 ,2.00 ,0.50 ,0.50 ,7.25 ,0.50 ,0.50 ,1.65 ,2.65 ,1.00 ,0.75 ,1.00 ,2.75 ,1.70 ,0.50 ,0.75 ,2.55 ,5.50 ,0.50 ,2.00 ,0.94 ,1.93 ,1.36 ,6.73 ,2.00 ,0.55 ,0.56 ,0.26 ,0.82 ,,0.60 ,0.29 ,0.48 ,0.40 ,5.96 ,47.50 
한솔제지,' 04150,종이제품제조,식약/섬유/종이업,1 ,3.41 ,2.55 ,2.10 ,2.75 ,1.20 ,1.40 ,13.41 ,0.55 ,1.10 ,1.70 ,2.00 ,1.50 ,2.00 ,8.85 ,1.59 ,0.50 ,1.32 ,3.42 ,1.00 ,1.20 ,1.50 ,3.70 ,1.00 ,1.40 ,2.55 ,2.55 ,7.50 ,1.50 ,2.00 ,1.09 ,0.62 ,0.50 ,5.70 ,0.50 ,0.40 ,0.55 ,0.26 ,1.00 ,,0.50 ,0.31 ,0.55 ,0.85 ,4.92 ,47.49 
일양약품,' 07570,화학제품제조업,식약/섬유/종이업,2 ,2.92 ,2.55 ,3.00 ,4.25 ,2.10 ,1.70 ,16.52 ,0.85 ,1.70 ,1.70 ,2.00 ,1.10 ,0.50 ,7.85 ,0.73 ,0.50 ,0.92 ,2.15 ,1.00 ,0.75 ,1.00 ,2.75 ,1.70 ,0.50 ,0.75 ,2.55 ,5.50 ,0.50 ,2.00 ,0.94 ,2.00 ,1.76 ,7.20 ,1.70 ,0.55 ,0.35 ,0.26 ,1.00 ,,0.40 ,0.36 ,0.48 ,0.40 ,5.51 ,47.48 
화천기계공업,' 10660,기타장비제조업,전기전자/기계업,2 ,2.78 ,2.10 ,3.00 ,4.25 ,2.55 ,1.70 ,16.38 ,0.85 ,1.70 ,1.70 ,2.00 ,1.10 ,1.10 ,8.45 ,1.19 ,0.50 ,0.75 ,2.44 ,1.00 ,0.75 ,1.50 ,3.25 ,1.70 ,0.50 ,0.75 ,2.55 ,5.50 ,0.50 ,2.00 ,1.08 ,1.78 ,1.17 ,6.53 ,1.40 ,0.25 ,0.45 ,0.26 ,1.00 ,,0.38 ,0.30 ,0.47 ,0.40 ,4.91 ,47.46 
삼성공조,' 06660,자동차제조,전기전자/기계업,1 ,2.75 ,1.65 ,3.00 ,5.00 ,1.20 ,1.40 ,15.00 ,0.85 ,1.70 ,1.70 ,2.00 ,0.50 ,2.00 ,8.75 ,1.41 ,1.70 ,2.94 ,6.05 ,1.00 ,1.20 ,1.50 ,3.70 ,1.70 ,0.50 ,0.75 ,1.65 ,4.60 ,0.50 ,0.64 ,0.79 ,2.00 ,0.58 ,4.51 ,0.80 ,0.70 ,0.43 ,0.26 ,1.00 ,,0.36 ,0.25 ,0.48 ,0.55 ,4.84 ,47.45 
한국주철관공업,' 00970,제1차금속산업,금속/비금속/화학업,2 ,2.85 ,2.10 ,2.10 ,4.25 ,2.55 ,1.70 ,15.55 ,0.85 ,1.70 ,1.70 ,2.00 ,0.50 ,2.00 ,8.75 ,2.00 ,0.50 ,3.00 ,5.50 ,1.00 ,1.20 ,1.50 ,3.70 ,1.00 ,1.40 ,0.75 ,1.65 ,4.80 ,0.50 ,0.84 ,0.90 ,1.18 ,1.66 ,5.08 ,0.50 ,0.40 ,0.34 ,0.26 ,1.00 ,,0.38 ,0.33 ,0.35 ,0.40 ,3.95 ,47.34 
모토닉,' 09680,자동차제조,전기전자/기계업,2 ,2.60 ,1.20 ,2.55 ,5.00 ,1.65 ,1.70 ,14.70 ,0.85 ,1.70 ,1.70 ,2.00 ,0.50 ,2.00 ,8.75 ,1.19 ,1.70 ,0.76 ,3.65 ,1.00 ,1.65 ,1.50 ,4.15 ,1.00 ,0.50 ,0.75 ,2.55 ,4.80 ,0.50 ,1.90 ,2.00 ,0.50 ,0.50 ,5.40 ,1.40 ,0.55 ,0.52 ,0.26 ,1.00 ,,0.53 ,0.33 ,0.41 ,0.85 ,5.84 ,47.30 
한라공조,' 18880,기타장비제조업,전기전자/기계업,1 ,1.59 ,2.55 ,1.20 ,5.00 ,2.10 ,1.70 ,14.14 ,0.85 ,1.70 ,1.70 ,2.00 ,1.10 ,0.50 ,7.85 ,1.29 ,0.50 ,2.74 ,4.53 ,1.00 ,0.75 ,0.50 ,2.25 ,1.70 ,1.40 ,1.65 ,2.55 ,7.30 ,1.50 ,0.50 ,0.50 ,2.00 ,1.33 ,5.83 ,0.50 ,0.85 ,0.74 ,0.26 ,1.00 ,,0.41 ,0.30 ,0.44 ,0.85 ,5.35 ,47.25 
S&T중공업,' 03570,자동차제조,전기전자/기계업,1 ,2.76 ,2.55 ,3.00 ,3.50 ,2.10 ,1.70 ,15.61 ,0.85 ,1.70 ,1.70 ,2.00 ,0.50 ,2.00 ,8.75 ,2.00 ,0.50 ,0.75 ,3.25 ,1.00 ,1.65 ,1.50 ,4.15 ,1.70 ,1.40 ,0.75 ,2.55 ,6.40 ,0.50 ,0.51 ,0.56 ,2.00 ,0.50 ,4.07 ,1.40 ,0.25 ,0.49 ,0.26 ,1.00 ,,0.25 ,0.27 ,0.55 ,0.55 ,5.02 ,47.24 
현대건설,' 00720,종합건설업,비제조/서비스업,1 ,3.39 ,2.55 ,3.00 ,2.75 ,1.65 ,1.70 ,15.04 ,0.85 ,1.70 ,1.70 ,2.00 ,2.00 ,2.00 ,10.25 ,0.61 ,0.50 ,0.82 ,1.93 ,1.00 ,0.75 ,1.50 ,3.25 ,1.70 ,0.50 ,1.65 ,2.55 ,6.40 ,1.50 ,2.00 ,0.66 ,0.93 ,0.77 ,5.86 ,2.10 ,,0.73 ,0.26 ,,0.25 ,0.50 ,0.25 ,0.39 ,,4.47 ,47.20 
동방아그로,' 07590,화학제품제조업,금속/비금속/화학업,3 ,3.16 ,1.65 ,2.10 ,5.00 ,2.55 ,1.70 ,16.16 ,0.85 ,1.70 ,1.70 ,2.00 ,1.10 ,0.50 ,7.85 ,1.19 ,0.50 ,0.88 ,2.57 ,1.00 ,0.75 ,1.50 ,3.25 ,1.70 ,0.50 ,0.75 ,2.55 ,5.50 ,0.50 ,2.00 ,1.76 ,1.75 ,1.03 ,7.04 ,1.40 ,0.25 ,0.46 ,0.26 ,1.00 ,,0.44 ,0.30 ,0.47 ,0.25 ,4.82 ,47.20 
계양전기,' 12200,기타장비제조업,전기전자/기계업,2 ,2.29 ,2.55 ,2.55 ,5.00 ,2.10 ,1.70 ,16.19 ,0.85 ,1.70 ,1.70 ,2.00 ,1.10 ,0.50 ,7.85 ,2.00 ,0.50 ,0.76 ,3.26 ,1.70 ,0.75 ,1.00 ,3.45 ,1.70 ,0.50 ,0.75 ,2.55 ,5.50 ,0.50 ,1.09 ,0.53 ,2.00 ,1.86 ,5.98 ,1.40 ,0.55 ,0.25 ,0.26 ,1.00 ,,0.28 ,0.32 ,0.36 ,0.55 ,4.97 ,47.19 
유한양행,' 00100,화학제품제조업,식약/섬유/종이업,1 ,3.44 ,2.55 ,1.65 ,5.00 ,1.65 ,1.40 ,15.69 ,0.85 ,1.70 ,1.70 ,2.00 ,1.10 ,1.50 ,8.85 ,0.89 ,0.50 ,3.00 ,4.39 ,1.00 ,0.75 ,1.00 ,2.75 ,1.00 ,0.50 ,1.65 ,2.55 ,5.70 ,0.50 ,2.00 ,0.83 ,1.27 ,0.59 ,5.19 ,0.50 ,0.40 ,0.54 ,0.26 ,1.00 ,,0.65 ,0.27 ,0.49 ,0.40 ,4.51 ,47.10 
신호제지,' 07190,종이제품제조,식약/섬유/종이업,1 ,3.29 ,2.55 ,3.00 ,2.00 ,2.55 ,1.40 ,14.79 ,0.55 ,1.10 ,1.70 ,2.00 ,1.50 ,2.00 ,8.85 ,1.75 ,1.70 ,0.75 ,4.20 ,1.00 ,0.75 ,1.50 ,3.25 ,1.70 ,1.40 ,0.75 ,2.55 ,6.40 ,0.50 ,1.53 ,0.65 ,1.74 ,0.57 ,4.99 ,1.10 ,0.25 ,0.31 ,0.26 ,1.00 ,,0.25 ,0.25 ,0.48 ,0.70 ,4.60 ,47.08 
삼영전자공업,' 05680,영상통신장비제조,전기전자/기계업,1 ,2.34 ,2.10 ,2.55 ,5.00 ,1.65 ,1.70 ,15.34 ,0.85 ,1.70 ,1.70 ,1.60 ,0.50 ,2.00 ,8.35 ,2.00 ,0.50 ,1.03 ,3.53 ,1.00 ,0.75 ,1.50 ,3.25 ,1.70 ,0.50 ,1.65 ,2.55 ,6.40 ,0.50 ,2.00 ,1.10 ,0.91 ,0.59 ,5.10 ,1.10 ,0.40 ,0.35 ,0.26 ,1.00 ,,0.48 ,0.27 ,0.39 ,0.85 ,5.11 ,47.08 
대우인터내셔널,' 47050,도매업,비제조/서비스업,1 ,2.76 ,2.55 ,2.55 ,2.00 ,1.65 ,1.10 ,12.61 ,0.85 ,1.70 ,1.70 ,2.00 ,2.00 ,2.00 ,10.25 ,1.21 ,1.70 ,0.78 ,3.68 ,1.00 ,1.65 ,1.50 ,4.15 ,1.00 ,1.40 ,1.65 ,2.55 ,6.60 ,0.50 ,2.00 ,1.10 ,1.21 ,1.03 ,5.84 ,1.20 ,,0.72 ,0.26 ,,0.25 ,0.50 ,0.28 ,0.61 ,,3.82 ,46.95 
